gateway_id,node_id, timestamp,value.temp1,value.temp2,value.temp3,value.hum1,value.hum2,value.water_level,value.water_leak,value.door,value.fire,value.status_temp1,value.status_temp2,value.status_temp3,value.status_hum1,value.status_hum2,value.status_water_level,value.status_water_leak,value.status_door,value.status_fire,value.anomaly_score_temp1,value.anomaly_score_temp2,value.anomaly_score_temp3,value.anomaly_score_hum1,value.anomaly_score_hum2,value.anomaly_score_waterlevel,value.anomaly_score_waterleak,value.anomaly_score_door,value.anomaly_score_fire
,LW111100001111BBCD,5/30/2022 10:31:58,26.1,26.5,25.9,55.1,53.7,3134,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.27,0.22,0.27,-0.07,-0.09,0.07,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:40:57,26.3,26.6,26.2,53.8,52.7,3128,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.24,0.22,0.26,-0.06,-0.07,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:41:59,26.6,26.6,26.2,53.8,52.5,2555,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.23,0.22,0.26,-0.06,-0.07,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:43:01,26.6,26.6,26.3,53.7,52.5,3134,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.22,0.23,-0.06,-0.07,0.07,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:44:03,26.6,26.6,26.3,53.6,52.4,3130,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.22,0.23,-0.05,-0.07,0.2,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:45:05,26.7,26.7,26.3,53.3,52.3,2558,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.19,0.23,-0.05,-0.07,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:46:06,26.7,26.7,26.4,52.7,51.8,3135,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.19,0.26,-0.05,-0.06,0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:47:07,26.7,26.7,26.4,52.6,51.7,3131,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.19,0.26,-0.05,-0.06,0.18,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:54:09,26.5,26.7,26.6,52,51.8,3132,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.19,0.25,-0.04,-0.06,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:55:10,26.5,26.8,26.8,52,51.4,2554,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.23,0.2,0.23,-0.04,-0.05,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:56:12,26.5,26.8,26.8,51.9,51.2,2554,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.23,0.2,0.23,-0.04,-0.05,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:57:13,26.5,26.9,26.8,51.8,51,827,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.22,0.23,-0.04,-0.05,0.04,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:58:16,26.5,26.9,26.8,51.9,50.9,3131,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.22,0.23,-0.04,-0.05,0.18,0,0.1,0
,LW111100001111BBCD,5/30/2022 10:59:19,26.5,26.9,26.9,51.5,50.7,3136,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.23,0.22,0.23,-0.04,-0.05,-0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:00:20,26.9,26.9,26.8,51.5,50.5,3135,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.22,0.22,0.23,-0.04,-0.04,0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:01:23,26.5,27,26.9,51.6,50.4,1693,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.23,0.19,0.23,-0.04,-0.04,-0.08,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:02:24,26.5,27,26.9,51.6,50.4,3137,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.23,0.19,0.23,-0.04,-0.04,-0.03,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:03:25,27,27,26.9,51.5,50.3,3134,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.2,0.19,0.23,-0.04,-0.04,0.07,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:04:26,26.5,27,26.9,51.7,50.5,3134,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.19,0.23,-0.04,-0.04,0.07,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:05:28,26.5,27,26.9,51.8,50.4,3133,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.19,0.23,-0.04,-0.04,0.12,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:06:30,27.1,27.1,27,51.8,50.4,3132,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.21,0.18,-0.04,-0.04,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:07:32,27.1,27.1,27,51.9,50.6,3132,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.21,0.18,-0.04,-0.04,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:08:34,26.6,27.1,27.1,51.9,50.4,3135,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.23,0.21,0.2,-0.04,-0.04,0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:09:35,27.2,27.2,27.1,51.6,50.2,3134,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.21,0.2,-0.04,-0.04,0.07,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:10:37,27.2,27.2,27.1,51.4,50,3136,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.21,0.2,-0.04,-0.04,-0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:11:38,26.7,27.2,27.2,51.5,49.9,3133,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.21,0.21,-0.04,-0.04,0.12,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:12:39,27.3,27.3,27.2,51,49.9,3135,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.2,0.21,-0.03,-0.04,0.02,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:13:41,27.3,27.3,27.2,50.5,49.2,3133,0,0,0,normal,normal,normal,abnormal,abnormal,normal,normal,normal,normal,0.21,0.2,0.21,-0.03,-0.03,0.12,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:14:42,26.7,27.3,27.2,50.3,49.1,2416,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.2,0.21,-0.02,-0.03,-0.1,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:15:44,27.3,27.3,27.3,49.5,48.1,3137,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.2,0.17,-0.02,-0.01,-0.03,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:16:45,26.8,27.3,27.2,48.9,47.7,250,0,0,0,normal,normal,normal,abnormal,abnormal,abnormal,normal,normal,normal,0.21,0.2,0.21,-0.01,0,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:17:47,27.3,27.3,27.2,48.7,47.2,250,0,0,0,normal,normal,normal,abnormal,normal,abnormal,normal,normal,normal,0.21,0.2,0.21,0,0.01,0.14,0,0.1,0
,LW111100001111BBCD,5/30/2022 11:18:48,27.3,27.3,27.3,48.2,46.9,2561,0,0,0,normal,normal,normal,normal,normal,abnormal,normal,normal,normal,0.21,0.2,0.17,0,0.01,-0.1,0,0.1,0
